code	meaning
E-13700	CAMPYLOBACTER, NOS
E-13710	CAMPYLOBACTER FETUS
E-13711	CAMPYLOBACTER FETUS SS. FETUS
E-13712	CAMPYLOBACTER FETUS SS. INTESTINALIS
E-13713	CAMPYLOBACTER JEJUNI
E-13750	CAMPYLOBACTER COLI
E-13760	CAMPYLOBACTER FECALIS
E-13770	CAMPYLOBACTER PYLORI
E-14100	CHROMOBACTERIUM, NOS
E-14300	CLOSTRIDIUM, NOS
E-14440	CLOSTRIDIUM SORDELLI
E-14600	CLOSTRIDIUM HEMOLYTICUM
E-14620	CLOSTRIDIUM NOVYI, NOS
E-14660	CLOSTRIDIUM PERFRINGENS
E-14690	CLOSTRIDIUM CHAUVOEI
E-14700	CLOSTRIDIUM SEPTICUM
E-14710	CLOSTRIDIUM DIFFICILE
E-14711	NEGATIVE CLOSTRIDIUM CULTURE
E-14950	CLOSTRIDIUM TETANI
E-15200	CORYNEBACTERIUM, NOS
E-15220	CORYNEBACTERIUM PSEUDOTUBERCULOSIS
E-15240	CORYNEBACTERIUM RENALE
E-15250	CORYNEBACTERIUM KUTSCHERI
E-15260	CORYNEBACTERIUM PSEUDODIPTHERITICUM
E-15270	CORYNEBACTERIUM EQUI
E-15380	CORYNEBACTERIUM HEMOLYTICUM
E-15410	CORYNEBACTERIUM PYOGENES
E-15500	DERMATOPHILUS, NOS
E-15510	DERMATOPHILUS CONGOLENSIS
E-15620	CITROBACTER, NOS
E-15630	CITROBACTER FREUNDII
E-15640	CITROBACTER INTERMEDIUS
E-15650	EDWARDSIELLA, NOS
E-15660	EDWARDSIELLA TARDA
E-15680	HAFNIA, NOS
E-15700	ESCHERICHIA, NOS
E-15710	ESCHERICHIA COLI
E-15711	ESCHERICHIA COLI, TYPE A
E-15712	ESCHERICHIA COLI, TYPE B
E-15713	ESCHERICHIA COLI, TYPE C
E-15714	ESCHERICHIA COLI, TYPE O
E-15720	ESCHERICHIA COLI,  POSITIVE RESULTS
E-15800	ENTEROBACTER, NOS
E-15820	ENTEROBACTER AEROGENES
E-15850	ENTEROBACTER AGGLOMERANS
E-15860	KLEBSIELLA, NOS
E-15870	KLEBSIELLA PNEUMONIAE
E-15900	ERWINIA, NOS
E-15910	ERWINIA HERBICOLA
E-15920	PROTEUS, NOS
E-15930	PROTEUS VULGARIS
E-15940	PROTEUS MIRABILIS
E-15950	MORGANELLA MORGANII
E-15960	PROTEUS RETTGERI
E-15970	PROVIDENCIA, NOS
E-15980	PROVIDENCIA ALCALIFACIENS
E-16000	SALMONELLA, NOS
E-16050	SALMONELLA PARATYPHI B
E-16120	SALMONELLA ARIZONAE
E-16500	SHIGELLA, NOS
E-16510	SHIGELLA DYSENTERIAE
E-16520	SHIGELLA FLEXNERI
E-16521	SHIGELLA FLEXNERI, TYPE 1
E-16522	SHIGELLA FLEXNERI, TYPE 2
E-16523	SHIGELLA FLEXNERI, TYPE 3
E-16524	SHIGELLA FLEXNERI, TYPE 4
E-16525	SHIGELLA FLEXNERI, TYPE 5
E-16526	SHIGELLA FLEXNERI, TYPE 6
E-16530	SHIGELLA BOYDII
E-16540	SHIGELLA SONNEI
E-16800	SERRATIA, NOS
E-16840	YERSINIA, NOS
E-16860	YERSINIA PSEUDOTUBERCULOSIS
E-16870	YERSINIA ENTEROCOLITICA
E-16900	ERYSIPELOTHRIX, NOS
E-17400	FLAVOBACTERIUM, NOS
E-17710	FRANCISELLA TULARENSIS
E-17800	FUSOBACTERIUM, NOS
E-17810	FUSIFORMIS FUSIFORMIS
E-18300	HAEMOPHILUS, NOS
E-18700	LACTOBACILLUS, NOS
E-18770	LACTOBACILLUS ACIDOPHILUS   (BACID)
E-19100	LEPTOSPIRA, NOS
E-19400	LISTERIA, NOS
E-19410	LISTERIA MONOCYTOGENES
E-19600	MICROCOCCUS, NOS
E-19800	MORAXELLA, NOS
E-19810	MORAXELLA LACUNATA
E-19820	MORAXELLA BOVIS
E-20000	MYCOBACTERIUM, NOS
E-20010	MYCOBACTERIUM TUBERCULOSIS
E-20030	MYCOBACTERIUM BOVIS
E-20100	MYCOBACTERIUM, ATYPICAL, NOS
E-20130	MYCOBACTERIUM GORDONAE
E-20140	MYCOBACTERIUM SCROFULACEUM
E-20160	MYCOBACTERIUM INTRACELLULARE
E-20170	MYCOBACTERIUM AVIUM
E-20260	MYCOBACTERIUM FORTUITUM
E-20300	MYCOBACTERIUM PARATUBERCULOSIS
E-21000	MYCOPLASMA, NOS
E-21600	NEISSERIA, NOS
E-22000	NOCARDIA, NOS
E-22010	NOCARDIA ASTEROIDES
E-22300	PASTEURELLA, NOS
E-22310	PASTEURELLA MULTOCIDA
E-22320	PASTEURELLA PNEUMOTROPICA
E-22330	PASTEURELLA HAEMOLYTICA
E-22340	PASTEURELLA UREAE
E-23000	PSEUDOMONAS, NOS
E-23010	PSEUDOMONAS AERUGINOSA
E-23030	PSEUDOMONAS FLUORESCENS, NOS
E-23120	PSEUDOMONAS PSEUDOMALLEI
E-23270	STENOTROPHOMONAS MALTOPHILIA
E-24200	SPIROCHAETA, NOS
E-24400	STAPHYLOCOCCUS, NOS
E-24410	STAPHYLOCOCCUS AUREUS
E-24420	STAPHYLOCOCCUS, COAGULASE NEGATIVE
E-24700	STREPTOBACILLUS, NOS
E-25000	STREPTOCOCCUS, NOS
E-25040	STREPTOCOCCUS GROUP A, NOS
E-25050	STREPTOCOCCUS PYOGENES
E-25100	STREPTOCOCCUS GROUP B, NOS
E-25110	STREPTOCOCCUS AGALACTIAE
E-25150	STREPTOCOCCUS GROUP C, NOS
E-25160	STREPTOCOCCUS ZOOEPIDEMICUS
E-25170	STREPTOCOCCUS DYSGALACTIAE
E-25180	STREPTOCOCCUS EQUI
E-25190	STREPTOCOCCUS EQUISIMILIS
E-25240	STREPTOCOCCUS GROUP D, NOS
E-25280	STREPTOCOCCUS FECALIS
E-25290	STREPTOCOCCUS FAECIUM
E-25420	STREPTOCOCCUS PNEUMONIAE
E-25470	STREPTOCOCCUS, ALPHA HEMOLYTIC, NOS
E-25480	STREPTOCOCCUS, BETA HEMOLYTIC, NOS
E-25490	STREPTOCOCCUS, GAMMA HEMOLYTIC, NOS
E-26000	TREPONEMA, NOS
E-26500	VIBRIO, NOS
E-26510	VIBRIO CHOLERAE
E-27100	RICKETTAIA, NOS
E-27400	COXIELLA, NOS
E-28000	CHLAMYDIA, NOS
E-28020	CHLAMYDIA PSITTACI
E-28810	MALARIA SCREEN
E-30000	VIRUS, NOS
E-30001	RRV-ROTAVIRUS
E-30100	ADENOVIRUS, NOS
E-32100	HERPESVIRUS, NOS
E-32140	HERPESVIRUS SIMIAE
E-32150	HERPESVIRUS T
E-32160	HERPESVIRUS OF CERCOPITHECUS MONKEYS
E-32170	HERPESVIRUS OF PATAS MONKEYS
E-32180	HERPESVIRUS SAIMIRI
E-32200	VARICELLA VIRUS, NOS
E-32210	EPSTEIN-BARR VIRUS
E-32220	CYTOMEGALOVIRUS, NOS
E-33480	SIMIAN PAPILLOMA VIRUS
E-33600	PARAMYXOVIRUS, NOS
E-33630	PARAINFLUENZA VIRUS 3
E-33710	MEASLES VIRUS
E-33720	RUBELLA VIRUS
E-35900	POX VIRUS, NOS
E-35940	MONKEYPOX VIRUS
E-36630	REOVIRUS, SIMIAN
E-36770	ROTAVIRUS
E-37030	RHABDOVIRUS B-1
E-40000	FUNGUS, NOS
E-40100	PHYCOMYCETE, NOS
E-40410	YEAST, NOS
E-40600	FUNGI IMPERFECTUS, NOS
E-40610	ASPERGILLUS, NOS
E-40740	BLASTOMYCES, NOS
E-40800	CANDIDA, NOS
E-40810	CANDIDA ALBICANS
E-41150	COCCIDIOIDES, NOS
E-41200	CRYPTOCOCCUS, NOS
E-41450	HISTOPLASMA, NOS
E-41650	MICROSPORUM, NOS
E-42000	PENICILLIUM, NOS
E-42250	PITYROSPORUM, NOS
E-42400	RHINOSPORIDIUM, NOS
E-42500	SPOROTRICHUM, NOS
E-42600	TRICHOPHYTON, NOS
E-43000	PARASITE, NOS
E-43010	PARASITE, PROTOZOAN, NOS
E-43020	PARASITE, METAZOAN, NOS
E-43320	SARCOCYSTIS
E-43360	TOXOPLASMA GONDII
E-43370	NOSEMA
E-43380	EIMERIA
E-44110	CHILOMASTIX, NOS
E-44120	CHILOMASTIX MESNILI
E-44140	ENTEROMONAS HOMINIS
E-44150	GIARDIA, NOS
E-44160	GIARDIA LAMBLIA
E-44200	LEISHMANIA, NOS
E-44300	RETORTAMONAS INTESTINALIS
E-44310	RETORTAMONAS INTESTINALIS
E-44320	TRICHOMONAS, NOS
E-44340	TRICHOMONAS HOMINIS
E-44360	TRYPANOSOMA, NOS
E-44500	SARCODINA, NOS
E-44530	DIENTAMOEBA FRAGILIS
E-44550	ENTAMOEBA, NOS
E-44560	ENTAMOEBA HISTOLYTICA
E-44570	ENTAMOEBA COLI
E-44580	ENTAMOEBA GINGIVALIS
E-44590	ENTAMOEBA POLECKI
E-44600	ENDOLIMAX, NOS
E-44610	ENDOLIMAX NANA
E-44640	HARTMANNELLA, NOS
E-44650	ENTEROMONAS HOMINIS
E-44660	IODAMOEBA, NOS
E-44670	IODAMOEBA BUTSCHLII
E-44720	ISOSPORA, NOS
E-44750	PLASMODIUM, NOS
E-44810	BALANTIDIUM, NOS
E-44820	BALANTIDIUM COLI
E-45000	HELMINTH, NOS
E-45050	FILARIOIDEA, NOS
E-45100	NEMATODE, NOS
E-45140	ANCYLOSTOMA, NOS
E-45150	ANCYLOSTOMA DUODENTALE
E-45220	ASCARIS, NOS
E-45280	BUNOSTONUM, NOS
E-45300	CAPILLARIA, NOS
E-45310	CAPILLARIA HEPATICA
E-45340	DIPETALONEMA, NOS
E-45370	DIROFILARIA, NOS
E-45440	ENTEROBIUS, NOS
E-45450	ENTEROBIUS VERMICULARIS
E-45490	GONGYLONEMA, NOS
E-45650	OESOPHAGOSTOMUM, NOS
E-45660	OESOPHAGOSTOMUM APIOSTOMUM
E-45670	OESOPHAGOSTOMUM STEPHANOSTOMUM
E-45730	PHYSALOPTERA, NOS
E-45750	RHABDITIS, NOS
E-45770	STRONGYLOIDES, NOS
E-45780	STRONGYLOIDES STERCORALIS
E-45830	TERNIDENS, NOS
E-45850	THELAZIA, NOS
E-45880	TOXOCARA, NOS
E-45940	TRICHINELLA, NOS
E-45960	TRICHURIS, NOS
E-45970	TRICHURIS TRICHIURA
E-45980	TRICHOSTRONGYLE, NOS
E-45990	TRICHOSTRONGYLUS COLUBRIFORMIS
E-46500	TREMATODE, NOS
E-46510	CLONORCHIS, NOS
E-46530	DICROCOELIUM, NOS
E-46570	ECHINOSTOMA, NOS
E-46650	FASCIOLA, NOS
E-46680	FASCIOLOPSIS, NOS
E-46860	SHISTOSOMA, NOS
E-47000	WATSONIUS, NOS
E-47100	CESTODE, NOS
E-47110	BERTIELLA, NOS
E-47120	BERTIELLA STUDERII
E-47130	BERTIELLA MUCRONATA
E-47160	DIPHYLLOBOTHRIUM, NOS
E-47260	ECHINOCOCCUS, NOS
E-47270	ECHINOCOCCUS GRANULOSUS
E-47280	ALVEOLAR HYDATID
E-47300	HYMENOLEPIS, NOS
E-47310	HYMENOLEPIS NANA
E-47311	HYMENOLEPIS DIMINUTA
E-47370	MESOCESTOIDES, NOS
E-47400	MONIEZIA, NOS
E-47500	SPARGANUM
E-47510	SPIROMETRA, NOS
E-47550	TAENIA, NOS
E-47560	TAENIA SOLIUM
E-47700	ACANTHOCEPHALA, NOS
E-47750	PROSTHENORCHIS
E-48100	PENTOSTOMA, NOS
E-48300	FLEA, NOS
E-48400	FLY LARVAE
E-48600	LOUSE, NOS
E-48700	MITE, NOS
E-48710	ACARIDAE, NOS
E-48730	DEMODEX, NOS
E-48740	DEMODEX FOLLICULORUM
E-48860	SARCOPTES. NOS
E-48900	MOSQUITO, NOS
E-49500	PRIMATE, NOS
E-49510	ANTHROPOID APE
E-49520	BABOON
E-49530	CHIMPANZEE
E-49540	GIBBON
E-49550	GORILLA
E-49560	MACAQUE
E-49570	HOMOSAPIENS
E-49580	MONKEY
E-49590	ORANGUTAN
E-49891	GOAT MILK
E-49990	WHALE
E-50000	CHEMICAL, NOS
E-50100	INORGANIC CHEMICAL, NOS
E-50120	TRITIUM  (H-3)
E-50121	TRITIATED WATER
E-50150	WATER
E-50500	CARBON, TATTOO
E-50520	CARBON - 14  (C-14)
E-50530	CARBON MONOXIDE (CO)
E-50550	CYANIDE AND CYANIDE COMPOUND, NOS
E-50770	NITRITE SALT
E-50780	NITRATE SALT
E-51010	FLUORINE AND FLUORINE COMPOUND, NOS
E-510X5	IODINE - 125  (I-125)
E-51100	ARSENIC AND ARSENIC COMPOUND, NOS
E-51140	ARSENITE COMPOUND
E-51310	SELENIUM SALT
E-51470	BARIUM AND BARIUM COMPOUND, NOS
E-51640	CHROMIUM - 51  (CR-51)
E-51670	IRON AND IRON COMPOUND, NOS
E-51750	LEAD AND LEAD COMPOUND, NOS
E-51830	MERCURY AND MERCURY COMPOUND, NOS
E-52060	THALLIUM AND THALLIUM COMPOUND, NOS
E-52120	ZINC AND ZINC COMPOUNDS, NOS
E-52160	ZINC PHOSPHATE (PHOSPHIDE)
E-52210	CALCIUM AND CALCIUM COMPOUND, NOS
E-52710	STRONTIUM - 85  (SR-85)
E-54020	PLASTIC OBJECT
E-54030	PETROLEUM
E-54100	HYDROCARBON, NOS
E-54570	NAPHTHALENE
E-54600	HALOGENATED HYDROCARBON, NOS
E-54700	CHLORINATED HYDROCARBON, NOS
E-55060	TETRACHLORODIOXIN
E-55070	TCB (CHLORINATED DIPHENYL)
E-55090	TETRACHLORODIBENZOFURAN
E-55120	ETHANOL
E-56010	ETHYLENE GLYCOL
E-56400	KETONE, NOS
E-56660	OXALATE SALT
E-56670	SODIUM OXALATE
E-58800	ORGANIC PHOSPHORUS COMPOUND, NOS
E-62620	SODIUM FLUOROACETATE
E-63000	INSECTICIDE, NOS
E-63500	ORGANIC PHOSPHORUS INSECTICIDE, NOS
E-64100	FUMIGANT, NOS
E-64600	HERBICIDE, NOS
E-65420	KARATHANE
E-65500	RODENTICIDE, NOS
E-65510	WARFARIN
E-66000	GAS, NOS
E-67200	DETERGENT, NOS
E-68010	PLANT, NOS
E-68020	LEAVES, FLOWERS, NOS
E-68600	PLANT POISON, NOS
E-68610	PLANT ALKALOID, NOS
E-68860	LATHYRUS PROTEIN
E-69010	PYRETHRIN
E-69060	NICOTINE
E-69400	CARCINOGENIC CHEMICAL COMPOUND, NOS
E-69570	POLYCHLORINATED BIPHENYL
E-70000	DRUG, NOS
E-70130	BENZYL ALCOHOL
E-70310	LIDOCAIN
E-70450	PROCAINE
E-70550	HALOTHANE
E-70590	KETAMINE (KETASET OR VETALAR)
E-70610	METHOXYFLURANE
E-70620	NITROUS OXIDE
E-70630	THIAMYLAL SODIUM
E-70720	ISOFLURANE
E-70930	OXYGEN, ANESTHETIC ADJUNCT
E-71160	HYDROGEN PEROXIDE
E-71210	IODINE SOLUTION
E-71230	IODOFORM
E-71370	POTASSIUM PERMANGANATE
E-713X0	NALIDIXIC ACID
E-71410	PROVIDONE IODINE
E-71430	SILVER NITRATE
E-71540	CRESOL
E-71620	FURAZOLIDONE
E-71660	NITROFURANTOIN
E-71670	NITROFURIZONE
E-71700	SULFONAMIDE, NOS
E-71760	SULFADIMETHOXINE
E-71820	SULFADIAZINE
E-71870	SULFAMETHOXAZOLE
E-71950	SULFISOXAZOLE
E-71970	SALICOAZOSULFAPYRIDINE
E-71990	TRIMETHOPRIM
E-72010	BACITRACIN
E-72040	CHLORAMPHENICOL
E-72041	CHLORAMPHENICOL PALMITATE
E-72042	CHLORAMPHENICOL SUCCINATE
E-7204X	CHLORAMPHENICOL, OPHTHALMIC OINTMENT
E-72080	LINCOMYCIN
E-72120	KANAMYCIN
E-72130	NEOMYCIN
E-72190	CEPHALOTHIN
E-721X0	CEFAZOLIN
E-72220	POLYMYXIN B
E-72240	STREPTOMYCIN, NOS
E-72260	STREPTOMYCIN SULFATE
E-72360	GENTAMYCIN
E-72370	AMIKACIN SULFATE
E-72400	ERYTHROMYCIN, NOS
E-72410	ERYTHROMYCIN STEARATE
E-72420	ERYTHROMYCIN ESTOLATE
E-72430	ERYTHROMYCIN ETHYLSUCCINATE
E-72500	TETRACYCLINE, NOS
E-72520	OXYTETRACYCLINE
E-72550	DOXYCYCLINE
E-72600	PENICILLIN, NOS
E-72601	PENICILLIN G PROCAIN
E-72602	PENICILLIN G POTASSIUM
E-72603	PENICILLIN G BENZATHINE
E-72620	OXACILLIN
E-72640	CLOXACILLIN
E-72660	BENZYL PENICILLIN
E-72720	AMPICILLIN
E-72910	AMPHOTERICIN B
E-72970	GRISEOFULVIN
E-73010	NYSTATIN
E-73440	ISONIAZID
E-73580	INTERFERON, INJECTABLE
E-73820	CHLOROQUINE
E-73840	PRIMAQUINE
E-74020	METRONIDAZOL
E-74180	MEBENDAZOLE
E-74270	THIABENDAZOLE
E-74290	NICLOSAMIDE
E-74420	BENZYL BENZOATE
E-74650	EPINEPHRINE (ADRENALIN)
E-74680	PSEUDOEPHEDRINE HYDROCHLORIDE
E-74710	DOPAMINE
E-74780	ISOPROTERONOL
E-75470	ATROPINE
E-75970	TROPICAMIDE
E-76030	CYCLOSPORIN A
E-76570	CLONIDINE
E-76710	PROCAINAMIDE
E-76720	QUINIDINE
E-76740	PROPANOLOL
E-76860	DIGOXIN
E-76890	OUABAIN
E-76980	DIPYRIDAMOLE
E-77048	GLYPHOSATE
E-77360	STRYCHNINE
E-77370	AMMONIA
E-77410	LEVODOPA (L-DOPA)
E-77710	ASPIRIN
E-77715	FLUNIXIN MEGLUMINE
E-77760	INDOMETHACIN
E-77850	HYDROMORPHONE
E-77890	FENTANYL (SUBLIMAZE)
E-77950	MEPERIDINE
E-77960	METHADONE
E-77970	MORPHINE
E-77980	OXYMORPHONE
E-78120	DIPHENYLHYDANTOIN
E-78251	VALPROIC ACID
E-78550	BARBITAL
E-78580	TETRAHYDROCANNABINOL
E-78840	PENTOBARBITAL  (FATAL PLUS)
E-78860	PHENOBARBITAL
E-79170	IMIPRAMINE
E-79380	PROMAZINE
E-79430	PROMETHAZINE
E-79520	DIAZEPAM  (VALIUM)
E-79580	THALIDOMIDE
E-79710	AMINOPHYLLIN
E-79930	SUCCINYLCHOLINE
E-80310	BENZOIC ACID
E-80320	SALICYLIC ACID
E-80410	BISMUTH SUBSALICYLATE
E-80490	ZINC OXIDE
E-80600	COCOA BUTTER
E-80620	MINERAL OIL
E-80750	METHYLCELLULOSE
E-81040	FLUORESCEIN
E-81310	BARIUM SULFATE
E-81340	DIATRIZOATE
E-81710	TUBERCULIN, NOS
E-81711	TUBERCULIN, MAMMALIAN
E-81712	TUBERCULIN, AVIAN
E-81820	FREUND ANTIGEN
E-81890	CANDIDA SKIN TEST
E-82030	SIMETHICONE
E-82070	CIMETIDINE
E-82270	SODIUM BICARBONATE
E-82530	AGAR
E-82550	ALOE VERA
E-82551	ALOE VERA, GEL
E-82660	DIOCTYL SODIUM SULFOSUCCINATE
E-82730	MAGNESIUM SULFATE
E-83120	APOMORPHINE
E-83740	STREPTOZOTOCIN
E-84101	ANTICOAGULANT CITRATE DEXTROSE
E-84130	DICOUMAROL (BISHYDROXYCOUMADIN)
E-84180	STREPTOKINASE-STREPTODORNASE   (VARIDASE)
E-84190	FIBRINOLYSIN
E-84210	HEPARIN PREPARATION
E-84250	SODIUM CITRATE
E-84270	SODIUM WARFARIN
E-84311	ALPHA LACTOALBUMIN
E-84320	BLOOD, WHOLE, NOS
E-84340	DEXTRAN
E-84360	ISOTONIC SODIUM CHLORIDE (SALINE)
E-84370	GLUCOSE
E-84430	PLASMA FRACTION
E-84520	ABSORBABLE GELATIN SPONGE
E-84620	FIBRINOGEN, INJECTABLE
E-84640	THROMBIN
E-84660	PROTAMINE
E-84730	IRON DRUG
E-84731	PEPTONIZED IRON
E-84810	FERROUS GLUCONATE
E-84840	IRON DEXTRAN
E-85000	HORMONE
E-85050	CHORIONIC GONADOTROPIN, INJECTABLE
E-85080	ESTROGEN-PROGESTIN PREPARATION, COMBINED
E-85150	DEXAMETHASONE
E-85260	HYDROCORTAMATE
E-85300	CORTISONE, INJECTABLE
E-85310	METHYLPREDNISOLONE
E-85350	PREDNISOLONE
E-85360	PREDNISONE
E-85370	TRIAMCINOLONE
E-85440	NANDROLONE PHENPROPIONATE
E-85460	STANOZOLOL
E-85470	TESTOSTERONE, INJECTABLE
E-85480	DIHYDROTESTOSTERONE (DHT)
E-85500	ESTROGEN, NOS
E-85540	DIETHYLSTILBESTROL
E-85550	ESTRADIOL (E 2)
E-85560	ESTRONE, INJECTABLE
E-85580	ETHINYL ESTRADIOL
E-85640	NORETHINDRONE
E-85760	MEDROXYPROGESTERONE
E-85780	PROGESTERONE
E-85810	GLUCAGON, INJECTABLE
E-85820	INSULIN, INJECTABLE
E-85830	PENTAGASTRIN
E-86020	CORTICOTROPIN, INJECTABLE
E-86030	LUTUTRIN, INJECTABLE
E-86040	OXYTOCIN
E-86051	GROWTH HORMONE RELEASING FACTOR
E-86060	PROLACTIN, INJECTABLE
E-86070	VASOPRESSIN, INJECTABLE
E-86090	FOLLOCLE STIMULATING HORMONE, INJECTABLE
